Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,33621.0807
1_2_2012-11-02,47105.2764
1_3_2012-11-02,10603.5595
1_4_2012-11-02,38194.4727
1_5_2012-11-02,32029.0146
1_6_2012-11-02,4776.2531
1_7_2012-11-02,24450.8343
1_8_2012-11-02,37496.2941
1_9_2012-11-02,42459.6046
1_10_2012-11-02,30611.3158
1_11_2012-11-02,25474.4198
1_12_2012-11-02,10034.7257
1_13_2012-11-02,43091.8713
1_14_2012-11-02,14356.7981
1_16_2012-11-02,6168.256
1_17_2012-11-02,8523.1818
1_18_2012-11-02,12368.3186
1_19_2012-11-02,1005.322
1_20_2012-11-02,3384.1073
1_21_2012-11-02,8366.8695
1_22_2012-11-02,7880.2761
1_23_2012-11-02,23220.361
1_24_2012-11-02,6670.5739
1_25_2012-11-02,10812.8004
1_26_2012-11-02,7612.6091
1_27_2012-11-02,1870.4506
1_28_2012-11-02,799.0513
1_29_2012-11-02,4778.3381
1_30_2012-11-02,2452.1551
1_31_2012-11-02,1925.7296
1_32_2012-11-02,6421.8597
1_33_2012-11-02,6578.9877
1_34_2012-11-02,11777.3485
1_35_2012-11-02,2493.576
1_36_2012-11-02,2077.3207
1_37_2012-11-02,2880.1084
1_38_2012-11-02,86533.7188
1_40_2012-11-02,62922.2847
1_41_2012-11-02,1245.7186
1_42_2012-11-02,8168.8762
1_44_2012-11-02,5797.556
1_46_2012-11-02,18669.4412
1_48_2012-11-02,2045.54
1_49_2012-11-02,10262.1216
1_52_2012-11-02,2232.048
1_55_2012-11-02,14080.073
1_56_2012-11-02,1005.4622
1_58_2012-11-02,3272.1497
1_59_2012-11-02,661.7781
1_60_2012-11-02,1253.846
1_67_2012-11-02,6414.7947
1_71_2012-11-02,2634.7199
1_72_2012-11-02,54534.8354
1_74_2012-11-02,9979.3084
1_79_2012-11-02,44327.1805
1_80_2012-11-02,19089.2946
1_81_2012-11-02,30998.9362
1_82_2012-11-02,19970.3675
1_83_2012-11-02,5479.1362
1_85_2012-11-02,3124.858
1_87_2012-11-02,60324.8707
1_90_2012-11-02,90230.8012
1_91_2012-11-02,63867.9192
1_92_2012-11-02,100000
1_93_2012-11-02,76553.293
1_94_2012-11-02,61885.3035
1_95_2012-11-02,100000
1_96_2012-11-02,33005.2162
1_97_2012-11-02,34196.4062
1_98_2012-11-02,12937.4353
1_99_2012-11-02,126.7333
1_1_2012-11-09,19698.1807
1_2_2012-11-09,47301.9404
1_3_2012-11-09,10813.5973
1_4_2012-11-09,37358.272
1_5_2012-11-09,37958.5359
1_6_2012-11-09,4232.5995
1_7_2012-11-09,25515.869
1_8_2012-11-09,37048.884
1_9_2012-11-09,35342.7599
1_10_2012-11-09,32527.018
1_11_2012-11-09,23192.5654
1_12_2012-11-09,10244.107
1_13_2012-11-09,40775.9648
1_14_2012-11-09,17739.6015
1_16_2012-11-09,6612.5611
1_17_2012-11-09,8722.3739
1_18_2012-11-09,10898.6202
1_19_2012-11-09,1033.9842
1_20_2012-11-09,3570.9317
1_21_2012-11-09,8258.0701
1_22_2012-11-09,7656.2814
1_23_2012-11-09,22060.9569
1_24_2012-11-09,6778.485
1_25_2012-11-09,9932.0145
1_26_2012-11-09,7600.2021
1_27_2012-11-09,1795.7533
1_28_2012-11-09,728.3278
1_29_2012-11-09,4592.8226
1_30_2012-11-09,2474.3247
1_31_2012-11-09,1598.3458
1_32_2012-11-09,6578.9984
1_33_2012-11-09,6637.0093
1_34_2012-11-09,11519.5279
1_35_2012-11-09,2397.895
1_36_2012-11-09,1515.5945
1_37_2012-11-09,3000.2195
1_38_2012-11-09,80093.0198
1_40_2012-11-09,60800.3
1_41_2012-11-09,1046.6582
1_42_2012-11-09,8182.396
1_44_2012-11-09,5937.9732
1_46_2012-11-09,18077.9677
1_48_2012-11-09,1960.53
1_49_2012-11-09,9757.22
1_52_2012-11-09,2162.5052
1_55_2012-11-09,21282.1283
1_56_2012-11-09,1177.6113
1_58_2012-11-09,3808.8788
1_59_2012-11-09,751.3548
1_60_2012-11-09,1157.01
1_67_2012-11-09,6198.4357
1_71_2012-11-09,2555.6334
1_72_2012-11-09,47933.6052
1_74_2012-11-09,10032.7979
1_79_2012-11-09,41738.8668
1_80_2012-11-09,19371.6571
1_81_2012-11-09,31340.9974
1_82_2012-11-09,20010.8011
1_83_2012-11-09,6066.445
1_85_2012-11-09,2955.5411
1_87_2012-11-09,55249.2143
1_90_2012-11-09,92746.4458
1_91_2012-11-09,72175.6016
1_92_2012-11-09,100000
1_93_2012-11-09,82608.1701
1_94_2012-11-09,61099.7497
1_95_2012-11-09,100000
1_96_2012-11-09,33583.8147
1_97_2012-11-09,36585.7954
1_98_2012-11-09,13069.1119
1_99_2012-11-09,57.4769
1_1_2012-11-16,20151.8541
1_2_2012-11-16,44926.6578
1_3_2012-11-16,11115.6194
1_4_2012-11-16,38905.6133
1_5_2012-11-16,28451.4321
1_6_2012-11-16,3536.2757
1_7_2012-11-16,25948.1976
1_8_2012-11-16,35714.0959
1_9_2012-11-16,34522.6306
1_10_2012-11-16,32483.6583
1_11_2012-11-16,26077.2981
1_12_2012-11-16,8664.9495
1_13_2012-11-16,38133.1739
1_14_2012-11-16,17706.2359
1_16_2012-11-16,5788.2681
1_17_2012-11-16,9483.1192
1_18_2012-11-16,13057.8457
1_19_2012-11-16,947.8311
1_20_2012-11-16,3328.5436
1_21_2012-11-16,8351.5197
1_22_2012-11-16,7555.1038
1_23_2012-11-16,23287.7972
1_24_2012-11-16,6640.4278
1_25_2012-11-16,10455.7479
1_26_2012-11-16,7308.9686
1_27_2012-11-16,1884.0385
1_28_2012-11-16,750.616
1_29_2012-11-16,5479.8104
1_30_2012-11-16,2301.196
1_31_2012-11-16,1586.2361
1_32_2012-11-16,5898.2571
1_33_2012-11-16,5975.8998
1_34_2012-11-16,12530.2999
1_35_2012-11-16,2540.7577
1_36_2012-11-16,1956.513
1_37_2012-11-16,2777.1155
1_38_2012-11-16,77303.2783
1_40_2012-11-16,59701.0141
1_41_2012-11-16,1253.5703
1_42_2012-11-16,7720.877
1_44_2012-11-16,5938.1435
1_46_2012-11-16,17586.3722
1_48_2012-11-16,2282.78
1_49_2012-11-16,9838.4028
1_52_2012-11-16,2044.5218
1_54_2012-11-16,33.8674
1_55_2012-11-16,18750.7719
1_56_2012-11-16,1007.6228
1_58_2012-11-16,3737.4191
1_59_2012-11-16,775.6703
1_60_2012-11-16,870.9
1_67_2012-11-16,6840.0693
1_71_2012-11-16,2403.3511
1_72_2012-11-16,43471.8343
1_74_2012-11-16,9914.0695
1_79_2012-11-16,32747.3226
1_80_2012-11-16,19223.8206
1_81_2012-11-16,30576.5156
1_82_2012-11-16,20435.5435
1_83_2012-11-16,5649.9191
1_85_2012-11-16,3324.5438
1_87_2012-11-16,47732.299
1_90_2012-11-16,93492.8538
1_91_2012-11-16,67716.4331
1_92_2012-11-16,100000
1_93_2012-11-16,82621.5411
1_94_2012-11-16,60958.0987
1_95_2012-11-16,100000
1_96_2012-11-16,32086.3658
1_97_2012-11-16,36355.9459
1_98_2012-11-16,14451.5739
1_1_2012-11-23,21992.612
1_2_2012-11-23,48969.5866
1_3_2012-11-23,10227.3951
1_4_2012-11-23,44493.7664
1_5_2012-11-23,65471.6477
1_6_2012-11-23,20917.1433
1_7_2012-11-23,78683.9879
1_8_2012-11-23,36402.9057
1_9_2012-11-23,40531.5377
1_10_2012-11-23,30976.4626
1_11_2012-11-23,28284.3203
1_12_2012-11-23,9334.9019
1_13_2012-11-23,37712.7841
1_14_2012-11-23,52777.9962
1_16_2012-11-23,8127.2578
1_17_2012-11-23,11917.2843
1_18_2012-11-23,26536.3163
1_19_2012-11-23,1115.4758
1_20_2012-11-23,5011.6618
1_21_2012-11-23,9923.9704
1_22_2012-11-23,17496.3029
1_23_2012-11-23,32078.037
1_24_2012-11-23,14721.7237
1_25_2012-11-23,12243.6836
1_26_2012-11-23,9392.44
1_27_2012-11-23,2130.5664
1_28_2012-11-23,839.395
1_29_2012-11-23,5698.039
1_30_2012-11-23,2777.0168
1_31_2012-11-23,1566.7826
1_32_2012-11-23,9375.4493
1_33_2012-11-23,10673.5474
1_34_2012-11-23,14771.4843
1_35_2012-11-23,2909.4684
1_36_2012-11-23,2624.8817
1_37_2012-11-23,2622.0988
1_38_2012-11-23,63372.024
1_40_2012-11-23,58769.4073
1_41_2012-11-23,2606.4657
1_42_2012-11-23,7649.9994
1_44_2012-11-23,7164.307
1_46_2012-11-23,18844.5143
1_48_2012-11-23,3294.7092
1_49_2012-11-23,9426.9151
1_52_2012-11-23,3139.2628
1_54_2012-11-23,47.3172
1_55_2012-11-23,39238.5433
1_56_2012-11-23,1485.3132
1_58_2012-11-23,4275.73
1_59_2012-11-23,1295.336
1_60_2012-11-23,929.6823
1_67_2012-11-23,7233.0777
1_71_2012-11-23,4752.3179
1_72_2012-11-23,94715.8147
1_74_2012-11-23,17809.3517
1_79_2012-11-23,32220.868
1_80_2012-11-23,18463.559
1_81_2012-11-23,30238.2023
1_82_2012-11-23,21389.565
1_83_2012-11-23,5272.5287
1_85_2012-11-23,3837.6751
1_87_2012-11-23,47881.703
1_90_2012-11-23,93641.4575
1_91_2012-11-23,60980.0871
1_92_2012-11-23,100000
1_93_2012-11-23,82277.7384
1_94_2012-11-23,68690.3035
1_95_2012-11-23,99870.3586
1_96_2012-11-23,39162.079
1_97_2012-11-23,34501.1409
1_98_2012-11-23,19736.7657
1_99_2012-11-23,2682.7948
1_1_2012-11-30,36696.5556
1_2_2012-11-30,48948.5051
1_3_2012-11-30,10229.8365
1_4_2012-11-30,42617.6689
1_5_2012-11-30,46625.219
1_6_2012-11-30,8693.4426
1_7_2012-11-30,53927.3955
1_8_2012-11-30,36212.9967
1_9_2012-11-30,40596.9349
1_10_2012-11-30,29689.3217
1_11_2012-11-30,27170.1112
1_12_2012-11-30,7956.4934
1_13_2012-11-30,37187.0419
1_14_2012-11-30,37811.7883
1_16_2012-11-30,7341.2168
1_17_2012-11-30,10942.4634
1_18_2012-11-30,22274.5761
1_19_2012-11-30,1229.1499
1_20_2012-11-30,4338.588
1_21_2012-11-30,8899.2191
1_22_2012-11-30,11006.8466
1_23_2012-11-30,26798.7318
1_24_2012-11-30,9931.5201
1_25_2012-11-30,11943.0352
1_26_2012-11-30,6767.5405
1_27_2012-11-30,1906.5767
1_28_2012-11-30,873.3226
1_29_2012-11-30,5763.5537
1_30_2012-11-30,2642.5127
1_31_2012-11-30,1584.0556
1_32_2012-11-30,6920.6613
1_33_2012-11-30,7036.773
1_34_2012-11-30,13826.4578
1_35_2012-11-30,2694.9638
1_36_2012-11-30,2280.1388
1_37_2012-11-30,2447.7389
1_38_2012-11-30,67327.6412
1_40_2012-11-30,58867.5048
1_41_2012-11-30,2044.5358
1_42_2012-11-30,7448.4407
1_44_2012-11-30,6882.8143
1_45_2012-11-30,29.3027
1_46_2012-11-30,17725.5952
1_48_2012-11-30,2705.1299
1_49_2012-11-30,9595.9973
1_52_2012-11-30,2639.649
1_54_2012-11-30,57.8794
1_55_2012-11-30,28747.5739
1_56_2012-11-30,1039.4433
1_58_2012-11-30,3672.21
1_59_2012-11-30,1819.754
1_60_2012-11-30,947.512
1_67_2012-11-30,7189.6264
1_71_2012-11-30,3112.5461
1_72_2012-11-30,57706.0228
1_74_2012-11-30,10400.6081
1_79_2012-11-30,31058.6121
1_80_2012-11-30,17924.9509
1_81_2012-11-30,29643.1264
1_82_2012-11-30,19597.9523
1_83_2012-11-30,5113.619
1_85_2012-11-30,3908.1011
1_87_2012-11-30,47847.2723
1_90_2012-11-30,87924.3307
1_91_2012-11-30,58426.1587
1_92_2012-11-30,100000
1_93_2012-11-30,75954.0648
1_94_2012-11-30,69817.1405
1_95_2012-11-30,99484.6148
1_96_2012-11-30,35403.1
1_97_2012-11-30,32928.7155
1_98_2012-11-30,16765.1732
1_99_2012-11-30,2702.65
1_1_2012-12-07,55463.218
1_2_2012-12-07,48989.5067
1_3_2012-12-07,13413.5572
1_4_2012-12-07,41420.977
1_5_2012-12-07,58579.9615
1_6_2012-12-07,9329.4806
1_7_2012-12-07,65525.2938
1_8_2012-12-07,49298.5092
1_9_2012-12-07,38236.2719
1_10_2012-12-07,31639.3525
1_11_2012-12-07,29467.5848
1_12_2012-12-07,10547.4412
1_13_2012-12-07,41078.8911
1_14_2012-12-07,37948.5037
1_16_2012-12-07,8747.0748
1_17_2012-12-07,17162.3828
1_18_2012-12-07,71104.0572
1_19_2012-12-07,1506.7877
1_20_2012-12-07,5386.8856
1_21_2012-12-07,9975.8923
1_22_2012-12-07,10646.1897
1_23_2012-12-07,45585.0666
1_24_2012-12-07,13439.601
1_25_2012-12-07,11499.9447
1_26_2012-12-07,8454.4635
1_27_2012-12-07,5197.2834
1_28_2012-12-07,710.1895
1_29_2012-12-07,9987.8514
1_30_2012-12-07,2466.8141
1_31_2012-12-07,4223.5684
1_32_2012-12-07,21535.5653
1_33_2012-12-07,17427.4071
1_34_2012-12-07,12987.7387
1_35_2012-12-07,2689.2452
1_36_2012-12-07,1897.222
1_37_2012-12-07,2733.4671
1_38_2012-12-07,82136.3172
1_40_2012-12-07,61343.4625
1_41_2012-12-07,1541.3033
1_42_2012-12-07,7252.7258
1_44_2012-12-07,6844.236
1_45_2012-12-07,18.9518
1_46_2012-12-07,37314.4038
1_48_2012-12-07,1896.9599
1_49_2012-12-07,9914.1045
1_52_2012-12-07,2798.4237
1_54_2012-12-07,72.7858
1_55_2012-12-07,21863.8197
1_56_2012-12-07,1739.0409
1_58_2012-12-07,4325.0782
1_59_2012-12-07,6663.5233
1_60_2012-12-07,1477.158
1_67_2012-12-07,9518.4919
1_71_2012-12-07,2773.2725
1_72_2012-12-07,58310.584
1_74_2012-12-07,10163.002
1_79_2012-12-07,42960.4461
1_80_2012-12-07,20611.3548
1_81_2012-12-07,32825.5023
1_82_2012-12-07,45427.6316
1_83_2012-12-07,5976.0643
1_85_2012-12-07,5681.2956
1_87_2012-12-07,58293.0659
1_90_2012-12-07,95108.913
1_91_2012-12-07,71283.3032
1_92_2012-12-07,100000
1_93_2012-12-07,84852.59
1_94_2012-12-07,62224.0916
1_95_2012-12-07,99933.5891
1_96_2012-12-07,34765.6614
1_97_2012-12-07,38216.62
1_98_2012-12-07,13358.1607
1_99_2012-12-07,1604.6012
1_1_2012-12-14,45540.1805
1_2_2012-12-14,48713.1668
1_3_2012-12-14,12203.6919
1_4_2012-12-14,38244.7979
1_5_2012-12-14,43309.1744
1_6_2012-12-14,7805.5954
1_7_2012-12-14,59899.7841
1_8_2012-12-14,36890.2098
1_9_2012-12-14,28268.8057
1_10_2012-12-14,29781.989
1_11_2012-12-14,30100.0046
1_12_2012-12-14,7810.9639
1_13_2012-12-14,36785.1788
1_14_2012-12-14,23687.1682
1_16_2012-12-14,5250.9451
1_17_2012-12-14,11223.8328
1_18_2012-12-14,31832.0752
1_19_2012-12-14,1470.2583
1_20_2012-12-14,3226.3782
1_21_2012-12-14,9740.0986
1_22_2012-12-14,10910.4546
1_23_2012-12-14,33016.663
1_24_2012-12-14,10934.9034
1_25_2012-12-14,11458.492
1_26_2012-12-14,8198.4599
1_27_2012-12-14,3073.9525
1_28_2012-12-14,770.7305
1_29_2012-12-14,6921.1763
1_30_2012-12-14,2397.1253
1_31_2012-12-14,3541.8823
1_32_2012-12-14,14468.4971
1_33_2012-12-14,10698.5201
1_34_2012-12-14,13729.4286
1_35_2012-12-14,2614.8589
1_36_2012-12-14,2498.2188
1_37_2012-12-14,2484.6453
1_38_2012-12-14,76263.7427
1_40_2012-12-14,60968.9797
1_41_2012-12-14,1490.3927
1_42_2012-12-14,6712.0308
1_44_2012-12-14,6574.8752
1_46_2012-12-14,29012.7268
1_48_2012-12-14,1992.32
1_49_2012-12-14,9772.3756
1_52_2012-12-14,2734.7754
1_54_2012-12-14,55.8938
1_55_2012-12-14,20893.8576
1_56_2012-12-14,1481.1585
1_58_2012-12-14,4365.71
1_59_2012-12-14,3772.5748
1_60_2012-12-14,1463.406
1_67_2012-12-14,8641.7559
1_71_2012-12-14,2670.9745
1_72_2012-12-14,57537.7027
1_74_2012-12-14,9618.4943
1_79_2012-12-14,32742.2842
1_80_2012-12-14,19579.9292
1_81_2012-12-14,30542.7944
1_82_2012-12-14,31162.8755
1_83_2012-12-14,5806.0305
1_85_2012-12-14,5521.5204
1_87_2012-12-14,47324.7113
1_90_2012-12-14,93783.5174
1_91_2012-12-14,67898.2575
1_92_2012-12-14,100000
1_93_2012-12-14,79249.2823
1_94_2012-12-14,57077.3834
1_95_2012-12-14,99933.5891
1_96_2012-12-14,31150.2568
1_97_2012-12-14,36780.993
1_98_2012-12-14,13962.2061
1_99_2012-12-14,1067.4975
1_1_2012-12-21,57763.2198
1_2_2012-12-21,55650.5258
1_3_2012-12-21,12632.577
1_4_2012-12-21,41065.4323
1_5_2012-12-21,65799.7878
1_6_2012-12-21,15168.6273
1_7_2012-12-21,84307.4106
1_8_2012-12-21,44038.2839
1_9_2012-12-21,36783.3364
1_10_2012-12-21,30810.4646
1_11_2012-12-21,29080.6579
1_12_2012-12-21,9827.5701
1_13_2012-12-21,36904.3175
1_14_2012-12-21,43174.6796
1_16_2012-12-21,6426.969
1_17_2012-12-21,19655.8537
1_18_2012-12-21,40135.2172
1_19_2012-12-21,1964.3341
1_20_2012-12-21,4516.4831
1_21_2012-12-21,11740.6875
1_22_2012-12-21,13060.2584
1_23_2012-12-21,50782.8479
1_24_2012-12-21,15051.2101
1_25_2012-12-21,12470.7907
1_26_2012-12-21,10074.5442
1_27_2012-12-21,5976.7816
1_28_2012-12-21,880.2747
1_29_2012-12-21,10944.9068
1_30_2012-12-21,2230.9217
1_31_2012-12-21,5850.6907
1_32_2012-12-21,45389.1073
1_33_2012-12-21,18108.3687
1_34_2012-12-21,13952.7324
1_35_2012-12-21,2916.8946
1_36_2012-12-21,3314.0902
1_37_2012-12-21,2705.3022
1_38_2012-12-21,71130.9759
1_40_2012-12-21,60616.5285
1_41_2012-12-21,2435.8899
1_42_2012-12-21,7087.9582
1_44_2012-12-21,6954.9089
1_46_2012-12-21,47142.9881
1_47_2012-12-21,-90.1153
1_48_2012-12-21,2865.6232
1_49_2012-12-21,9736.91
1_52_2012-12-21,2820.5062
1_54_2012-12-21,90.6042
1_55_2012-12-21,26850.2507
1_56_2012-12-21,1162.5284
1_58_2012-12-21,4082.6691
1_59_2012-12-21,9811.5954
1_60_2012-12-21,1433.49
1_67_2012-12-21,13145.1025
1_71_2012-12-21,3082.4872
1_72_2012-12-21,71146.244
1_74_2012-12-21,12779.0138
1_79_2012-12-21,31720.9745
1_80_2012-12-21,19983.9711
1_81_2012-12-21,30462.4752
1_82_2012-12-21,53890.7407
1_83_2012-12-21,5539.2386
1_85_2012-12-21,7060.2083
1_87_2012-12-21,48118.5367
1_90_2012-12-21,91484.3517
1_91_2012-12-21,63509.3161
1_92_2012-12-21,100000
1_93_2012-12-21,81977.1003
1_94_2012-12-21,66889.0326
1_95_2012-12-21,99933.5891
1_96_2012-12-21,35786.1403
1_97_2012-12-21,37095.6288
1_98_2012-12-21,16414.3929
1_99_2012-12-21,1504.7863
1_1_2012-12-28,21750.6884
1_2_2012-12-28,48688.475
1_3_2012-12-28,10692.7863
1_4_2012-12-28,39449.2344
1_5_2012-12-28,59621.7446
1_6_2012-12-28,15121.3209
1_7_2012-12-28,49977.0915
1_8_2012-12-28,36672.1187
1_9_2012-12-28,33057.0653
1_10_2012-12-28,31494.8785
1_11_2012-12-28,25993.2176
1_12_2012-12-28,8129.9054
1_13_2012-12-28,36191.2354
1_14_2012-12-28,36202.8097
1_16_2012-12-28,5106.7983
1_17_2012-12-28,11892.5874
1_18_2012-12-28,18803.6633
1_19_2012-12-28,1579.6547
1_20_2012-12-28,4610.1406
1_21_2012-12-28,8279.2493
1_22_2012-12-28,14731.6414
1_23_2012-12-28,28843.0546
1_24_2012-12-28,14115.4822
1_25_2012-12-28,10871.009
1_26_2012-12-28,10539.0585
1_27_2012-12-28,2299.6095
1_28_2012-12-28,748.6066
1_29_2012-12-28,7578.777
1_30_2012-12-28,2346.4735
1_31_2012-12-28,2454.4661
1_32_2012-12-28,12248.8614
1_33_2012-12-28,5343.6941
1_34_2012-12-28,12040.3017
1_35_2012-12-28,2752.5337
1_36_2012-12-28,2774.5971
1_37_2012-12-28,2711.4797
1_38_2012-12-28,67473.2944
1_40_2012-12-28,57928.9735
1_41_2012-12-28,2551.497
1_42_2012-12-28,7121.5972
